,Unnamed: 0,Brand,OS,RAM,ROM,Prices,Display,Processor,Warranty,Rating
488,488,SAMSUNG,Windows 11,16,512,122990,15.6,Intel Core 7 ,1,4.2
489,489,ASUS,Windows 11,16,512,55290,15.6,AMD Ryzen 5 Quad Core ,1,4.4
490,490,Lenovo,Windows 11,8,512,63390,15.6,AMD Ryzen 5 Hexa Core ,1,4.4
491,491,HP,Windows 11,16,512,51000,15.6,Intel Core i5 ,1,4.5
492,492,ASUS,Windows 11,16,512,84500,15.6,AMD Ryzen 7 Octa Core ,1,4.4
493,493,ASUS,Windows 11,16,512,118990,16,Intel Core i7 ,1,3.3
494,494,Lenovo,Windows 11,16,512,100190,15.6,Intel Core i7 ,1,4.5
495,495,DELL,Windows 11,16,512,58990,16,AMD Ryzen 5 Hexa Core ,1,4.5
496,496,ASUS,Windows 11,16,512,58990,14,AMD Ryzen 5 Hexa Core ,1,4.2
497,497,HP,Windows 11,8,512,71900,15.6,Intel Core i5 ,1,4.2
498,498,ASUS,Windows 11,16,512,82990,15.6,Intel Core i5 ,1,4.3
499,499,ASUS,Windows 10,16,1024,125663,15.6,Intel Core i9 ,1,4.3
500,500,Apple,Mac,36,1024,297190,14,Apple M3 Max ,1,4.3
501,501,Lenovo,Windows 11,8,512,44444,15.6,AMD Ryzen 5 ,1,4.3
502,502,HP,Windows 11,16,512,77500,14,Intel Core i5 ,1,4.3
503,503,DELL,Windows 10,16,512,51699,15.6,Intel Core i5 ,1,3.4
504,504,Lenovo,Windows 11,32,1024,124990,16,AMD Ryzen 7 Octa Core ,1,3.4
505,505,Lenovo,Windows 11,16,512,95390,16,Intel Core i7 ,1,4.6
506,506,ASUS,Windows 11,8,512,63999,15.6,Intel Core i5 ,1,4.3
507,507,DELL,Windows 11,8,512,59490,14,Intel Core i5 ,1,3.8
508,508,HP,Windows 11,16,1024,76900,14,Intel Core i7 ,1,3.8
509,509,ASUS,Windows 11,16,512,86399,17.3,AMD Ryzen 7 Octa Core ,1,4.7
510,510,ASUS,Windows 11,16,1024,189990,16,Intel Core Ultra 7 ,1,4.7
511,511,DELL,Windows 11,8,512,49000,14,Intel Core i5 ,1,4.5
